id,status_group
69572,0
8776,0
34310,0
67743,1
19728,0
9944,0
19816,1
54551,1
53934,1
46144,0
49056,0
50409,0
36957,0
50495,0
53752,0
61848,0
48451,1
58155,1
34169,2
18274,0
48375,0
6091,0
58500,2
37862,0
51058,0
22308,2
55012,0
20145,0
19685,1
69124,0
46804,0
6696,0
57238,2
12402,0
41583,0
57355,1
67359,1
60048,0
16583,0
25,1
70238,0
12796,0
52019,0
19282,1
1843,2
12958,1
45111,2
13620,0
18864,0
25182,0
3228,0
19308,1
10745,0
32376,1
9417,0
68724,1
74197,0
22961,1
24593,0
31714,2
29952,0
40393,1
2127,2
8265,1
67433,0
51072,1
34255,0
22108,1
4720,1
54801,1
21990,1
17386,1
41609,1
35715,1
53970,0
62971,1
63542,0
15622,0
12903,1
52561,0
19415,0
65531,2
3675,0
34383,0
30423,1
68717,1
3688,0
30537,1
27312,1
22143,2
43237,2
62591,1
39920,1
70892,0
48593,1
26419,0
68554,1
29083,0
33379,2
43206,1
41743,1
17970,0
25693,0
39364,2
57580,0
23000,0
59902,0
60371,1
74246,1
7116,0
64063,1
59983,0
10784,0
49503,0
54248,1
24409,1
21068,0
62341,1
10837,0
35458,1
36038,1
64447,0
22897,1
2915,0
14016,0
69525,1
73061,0
42031,0
33235,1
41839,1
62002,0
6106,0
25915,0
20673,0
59475,0
24012,0
69107,1
64062,1
44002,0
37471,0
49585,1
60852,0
64130,1
17687,0
38876,1
28669,0
73769,2
66521,0
53167,1
24232,0
65788,0
72981,0
60983,1
37768,1
64880,0
32871,1
45564,0
23519,2
50173,0
66843,0
13815,0
36591,1
71845,0
42180,0
63632,0
55594,0
11787,0
48528,1
72678,0
50970,0
37840,0
44258,1
10715,0
12120,0
67980,1
41635,0
14884,0
56725,1
33037,0
22190,1
47459,0
68908,0
62670,0
60866,1
2136,0
33320,0
58126,1
45604,0
67428,2
52318,0
33347,1
36684,0
41034,0
112,1
4807,0
41845,0
6065,0
37187,1
26540,1
8879,2
30377,0
20203,1
8060,0
59630,0
10068,2
34609,1
26701,0
46897,0
34636,1
52520,0
75,1
31626,1
3181,1
43098,1
37008,2
34853,1
48752,2
31132,0
37562,0
28740,2
30257,0
53212,2
40729,1
48695,0
35140,1
46814,0
7721,0
63695,0
7171,0
58838,0
61046,0
68347,1
14746,2
14952,1
64334,1
72374,1
33169,1
4907,2
49994,2
59588,1
46893,1
16944,1
35828,1
24377,1
51694,0
70241,1
1780,0
39490,0
21704,0
35193,1
24948,0
6076,0
18451,1
13042,2
34877,0
10891,1
33500,1
1012,1
4321,0
41162,1
31957,1
15815,1
47462,1
28110,1
52448,0
18832,1
62720,2
14326,0
36933,0
65093,0
50139,1
36455,1
49732,0
20200,0
43777,0
42497,1
52601,0
65530,1
73024,0
18842,2
9474,0
44434,0
36366,0
47236,1
8633,2
71487,0
46268,1
36093,0
2591,0
69669,1
67377,1
51185,1
24049,0
70835,0
74176,0
68037,0
10992,1
45886,1
64793,1
40808,1
62565,0
70379,0
10089,0
37364,1
43345,0
39310,1
59713,0
28945,2
5074,2
54009,1
35563,1
17668,1
30390,1
1298,1
2993,1
63712,1
61979,0
39704,1
29191,1
35649,2
15840,2
45415,2
8055,0
51403,1
33963,0
21669,1
7900,0
337,0
17861,0
13195,1
54722,1
2845,0
17111,0
21338,0
49326,0
15358,0
33040,1
40592,1
29513,0
51163,0
40920,0
65101,0
21127,1
67822,0
14135,0
10458,1
32089,0
8230,1
43433,0
62188,0
19,0
26577,0
68887,2
9382,0
65238,2
17897,2
29744,1
23987,2
26655,1
17978,0
51558,1
48007,1
25534,0
13969,0
39548,1
25143,0
25736,0
17516,0
66980,0
45444,0
59310,0
59102,0
61883,0
93,0
15988,1
19304,1
44092,0
66242,2
51611,2
53847,0
67634,0
24757,2
37524,0
16341,0
39176,0
24836,0
73470,1
11533,1
74217,0
7007,0
4101,0
17041,1
38725,0
39749,1
62642,1
49453,0
63018,0
65932,1
56863,1
23835,0
34870,1
39915,0
9736,0
70019,1
20984,1
20132,0
5963,0
3740,0
26943,2
43742,0
5784,1
42548,1
5121,1
57478,0
58537,2
3627,1
4062,0
15832,1
34741,0
67097,0
4437,0
65817,0
39559,1
54412,0
25344,1
2301,1
32844,1
59874,1
50233,1
29639,0
65584,0
43808,1
6788,0
51220,0
16872,2
66383,1
58599,0
29383,1
36809,1
29753,0
72112,1
34926,1
59898,2
779,0
68126,0
48102,2
24794,0
29771,0
29052,0
4923,0
38642,1
27079,0
60111,0
12478,1
67155,0
54733,0
45654,1
54678,0
1439,0
16313,0
6735,0
3328,1
1220,0
57970,0
44204,0
63675,0
40519,1
66382,0
45386,1
43604,1
59053,0
1030,1
52677,0
1738,0
19548,0
30897,1
27523,0
815,0
14910,1
11184,0
49071,2
22000,0
60074,2
60374,1
25913,0
6205,1
48390,1
3980,1
11905,0
45320,1
31264,0
16537,0
9096,2
33104,0
11754,1
4147,1
53577,2
42476,0
68995,1
32255,1
8699,0
1203,0
70666,1
26293,1
44358,1
64687,1
71489,1
61994,0
42306,1
67453,0
11581,1
14123,2
18266,0
59263,0
6387,0
28359,1
17571,0
53558,0
66967,0
72238,0
12207,0
68495,0
19283,0
38565,1
3522,0
21927,1
60029,1
26851,0
41968,0
38379,0
54983,0
68333,0
65944,1
5947,0
42347,0
67371,1
64048,0
42733,1
4133,1
50124,1
69502,1
45876,0
52402,1
24691,0
67950,0
19232,1
65266,0
48401,1
53972,2
59369,1
21737,0
13211,1
63864,0
30174,0
70930,0
36823,1
63746,0
24331,0
41174,0
70070,2
31332,0
11011,0
12245,0
68493,1
5946,1
27334,1
60626,0
69018,0
49196,0
26839,0
58681,1
70584,0
6758,0
65476,2
63687,1
49678,1
57948,1
42350,1
4526,1
51133,0
70054,1
48080,0
12552,0
52707,0
68660,1
64257,1
46719,1
17219,1
29658,0
14992,1
56386,1
8757,0
13727,1
22928,1
63748,1
42195,2
36067,2
54113,0
59405,0
62511,0
23315,0
40509,0
45093,1
45889,1
71634,0
15250,1
32245,0
3777,0
71658,1
48546,1
11957,2
49862,1
38775,0
66760,0
61574,0
57395,0
21830,1
18225,1
25165,2
67199,0
22385,0
4636,0
35726,0
6939,0
31692,0
47016,0
53147,1
27776,0
17242,0
53218,1
60433,0
48033,2
58642,1
7420,1
11811,0
54548,1
54848,1
32336,0
26535,1
71856,0
53518,1
11087,0
14701,0
11447,2
23819,1
27069,1
21064,0
36711,0
37750,1
47102,0
13734,0
50708,1
38763,0
38220,0
5060,2
29153,2
53985,1
6519,0
47117,1
20625,2
46110,1
72474,0
623,1
27561,0
52067,1
6757,0
54596,0
67545,0
51355,1
28846,0
13685,0
7863,1
55543,0
63908,0
23407,1
57452,0
42339,0
42491,0
27128,1
28741,0
7936,2
40427,1
64144,0
15188,0
25220,0
59031,1
69979,0
25199,0
70644,0
7841,1
32699,1
25339,2
53106,0
39953,1
22679,0
32012,0
35007,1
19409,0
54670,1
36702,0
57293,0
50001,1
6002,1
46231,0
10342,0
54599,0
26302,1
24052,0
11362,1
4554,0
3873,1
1856,0
19574,2
3843,0
71216,1
42487,1
19869,1
71891,0
5875,1
63423,0
38537,0
880,0
28306,1
69377,1
492,1
11641,1
69883,0
8709,0
8316,0
32164,0
49888,1
17809,1
71837,0
36267,2
64333,0
39105,0
13866,1
42943,0
42959,2
27736,2
68179,0
19672,0
37322,2
42431,0
25766,1
70897,1
61759,0
64031,0
18488,0
13501,1
26856,1
59448,0
56471,0
17287,0
8080,0
27799,0
35558,0
63978,1
45566,1
61039,0
71895,0
968,0
3995,1
1604,2
53188,2
5562,0
10976,1
18814,1
43732,0
72282,2
69101,2
25947,0
43149,1
50383,0
49431,0
45744,2
18848,1
711,1
6044,1
2940,1
57305,1
58286,0
66643,0
12756,0
15545,0
47221,0
2414,0
11497,1
71236,0
26174,1
14985,0
41560,0
26204,0
21623,1
37757,1
59179,0
1981,0
72237,0
51820,0
23732,0
47193,1
5464,1
57085,0
59694,1
56708,0
3091,0
37039,1
13201,0
10527,1
40666,1
47783,1
47756,1
66682,1
11388,0
1605,1
10065,1
72943,1
38507,2
54163,1
27790,0
37114,0
70237,0
47075,1
61558,0
28921,1
38293,0
23288,1
50641,1
1074,1
68641,0
40102,0
51665,1
13739,0
60171,0
18825,0
7942,1
60688,0
9401,0
58495,1
41985,2
17569,0
14438,0
52390,1
37241,0
37507,0
2829,1
34664,0
16672,0
4778,0
55567,0
11871,1
27571,0
13555,1
23465,2
28822,1
50898,0
53006,0
56631,0
46988,0
4672,0
35778,1
70424,1
58389,1
11695,1
37915,1
65995,0
8988,0
12598,0
34130,1
28032,0
72055,2
14727,0
7784,1
44120,0
6424,0
146,0
56277,0
60410,0
61169,0
22244,1
61060,0
33006,0
6988,0
23156,1
54772,1
19362,0
60535,0
54055,0
6171,0
48519,1
33946,1
68894,0
36606,0
72553,0
13987,1
20639,1
21896,0
25354,0
24752,0
7691,0
61992,1
19080,0
34305,1
36513,0
41986,0
36255,1
28016,0
55033,0
18928,0
44976,0
7296,0
10085,2
15643,0
1817,0
15975,1
22396,1
2547,0
24638,2
47697,1
25000,0
52461,1
49160,1
42590,1
65061,1
25243,1
30320,0
69136,0
28993,0
25367,0
53109,1
18169,0
18729,0
40750,1
16363,1
22402,2
52686,0
50841,0
12656,1
21315,0
32543,0
73274,1
20697,1
5009,0
19781,1
56226,1
69168,0
26962,0
43964,0
72849,1
15974,1
5071,0
44480,0
54327,1
55560,0
5563,0
44490,1
4379,1
58526,0
41227,1
9069,0
32952,1
42342,1
5455,0
39280,1
43079,1
46510,1
17088,0
61476,0
44578,1
46507,0
38201,0
15306,0
20347,1
72772,1
52991,1
68844,1
16923,0
22283,0
54056,0
3968,0
33094,1
20020,0
25712,1
30261,1
38474,0
36914,0
21383,0
45754,1
61131,2
11961,0
59071,0
458,0
1678,0
32502,0
14763,1
41826,0
17360,1
62435,1
60873,0
61750,0
47384,0
11570,1
5769,0
41064,0
73337,2
2296,0
30758,0
11249,0
8975,1
15697,1
55516,0
68770,0
34340,2
73545,0
21946,0
20011,0
12096,1
52980,1
41433,1
21810,1
8064,1
72386,0
6948,0
61190,0
29182,1
5277,0
21792,1
34375,0
26402,1
65213,1
34298,0
72359,1
19234,1
1408,1
60705,1
19262,1
61177,1
15666,2
11352,0
19595,0
2523,0
51714,0
47206,0
46752,2
54871,1
30036,0
24034,0
7334,1
70461,0
74188,1
52643,1
30990,1
20637,0
52547,1
15529,0
48505,1
5968,0
17278,1
55164,0
21952,1
30140,1
23296,0
59327,0
34823,0
13244,2
14675,0
36360,0
59257,0
68473,0
6592,1
39088,0
15044,0
45312,1
25635,0
3246,1
72352,0
2427,0
15178,0
32145,0
38563,1
57980,1
58115,1
6905,0
38261,1
46317,1
47744,0
4674,1
7464,1
54386,0
58753,1
8734,0
20205,1
57641,0
3215,1
20872,0
34554,0
9793,1
43016,1
4435,0
32760,0
11879,0
10835,0
24198,1
14783,0
49627,0
16898,0
18730,1
51370,1
42001,0
45954,0
4072,0
25132,0
37522,0
9850,0
11736,0
72024,0
34272,0
27733,0
19274,0
44507,2
70026,1
21745,0
47134,0
47471,1
33789,0
48621,1
68054,1
50879,0
60376,0
27378,1
42383,0
74085,0
55074,0
46138,0
27695,0
30098,0
25576,0
10479,0
59522,1
57162,1
17413,0
2080,0
64577,0
28942,0
8686,1
9182,0
20207,1
16679,0
11991,1
2484,1
58277,1
51371,1
32063,0
69226,0
47870,0
3634,0
7061,2
46652,0
59430,1
3948,0
21067,0
31713,1
19346,0
1775,0
25178,0
30241,0
31034,0
33553,0
53697,0
13285,0
38383,0
19061,1
32551,0
21065,0
62237,1
29950,1
64684,1
6081,0
3640,1
69862,1
14082,1
71302,1
11549,1
5116,1
66603,0
20685,1
44654,1
65214,0
19542,1
20122,1
15760,0
69542,0
8263,0
66753,1
64690,1
48178,1
55522,0
38157,0
44506,1
57174,0
46378,0
58390,0
25232,0
57258,0
20382,1
26220,1
89,1
16438,1
11416,1
7221,1
20028,0
59420,0
32185,2
9770,1
45510,1
14924,1
52979,0
5291,0
46549,1
45439,1
69379,0
30775,1
40847,1
26627,0
66498,0
8465,0
782,1
62372,2
18829,1
67735,1
28909,0
44269,1
5415,0
5759,1
22936,0
66423,1
38140,1
60313,1
10242,1
46865,1
5589,1
